Id,Label,SemanticCluster,ClusterTerms,TotalPapers,TopClusterCount,Id.1,Id
Krzysztof Makarski,Krzysztof Makarski,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",10,8,krzysztof makarski,Krzysztof Makarski
Michal Brzoza-brzezina,Michal Brzoza-brzezina,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",10,7,michal brzozabrzezina,Michal Brzoza-Brzezina
Nick Hanley,Nick Hanley,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",9,5,nick hanley,Nick Hanley
Ryszard Kokoszczynski,Ryszard Kokoszczynski,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",8,6,ryszard kokoszczynski,Ryszard Kokoszczynski
Ewa Rozanska,Ewa Rozanska,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",8,8,ewa rozanska,Ewa Rozanska
Agnieszka Kopanska,Agnieszka Kopanska,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",8,6,kopanska agnieszka,Kopanska Agnieszka
Agnieszka Fihel,Agnieszka Fihel,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",7,3,agnieszka fihel,Agnieszka Fihel
Katarzyna Dabrowska-gruszczynska,Katarzyna Dabrowska-gruszczynska,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",7,6,katarzyna dabrowskagruszczynska,Katarzyna Dabrowska-Gruszczynska
Syed Anees haider zaidi,Syed Anees haider zaidi,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",7,2,syed anees haider zaidi,Syed Anees Haider Zaidi
Jan Falkowski,Jan Falkowski,Cluster 7,"constitutional, political, rule, country, society, gap, economic, period, empirical, country period",6,4,jan falkowski,Jan Falkowski
Robert Kruszewski,Robert Kruszewski,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",6,6,robert kruszewski,Robert Kruszewski
Konrad Walczyk,Konrad Walczyk,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",6,6,konrad walczyk,Konrad Walczyk
Janusz Kudla,Janusz Kudla,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",6,6,janusz kudla,Janusz Kudla
Grzegorz Zakrzewski,Grzegorz Zakrzewski,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",6,6,grzegorz zakrzewski,Grzegorz Zakrzewski
Marek Okolski,Marek Okolski,Noise,,6,4,marek okolski,Marek Okolski
Joan Costa-font,Joan Costa-font,Noise,,6,2,joan costafont,Joan Costa-Font
Anna Michalek,Anna Michalek,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",6,6,anna michalek,Anna Michalek
Fujun Hou,Fujun Hou,Noise,,6,2,fujun hou,Fujun Hou
Maria Kubara,Maria Kubara,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",6,3,maria kubara mikos,Maria Kubara
Anna Lewczuk,Anna Lewczuk,Cluster 7,"constitutional, political, rule, country, society, gap, economic, period, empirical, country period",6,4,anna lewczuk,Anna Lewczuk
Karolina Goraus,Karolina Goraus,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",5,5,karolina goraus,Karolina Goraus
Thomas F rutherford,Thomas F rutherford,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",5,4,thomas f rutherford,Thomas F Rutherford
Krzysztof Kosc,Krzysztof Kosc,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",5,5,krzysztof kosc,Krzysztof Kosc
Muhammad Saeed ashraf,Muhammad Saeed ashraf,Noise,,5,1,muhammad saeed ashraf,Muhammad Saeed Ashraf
Bartosz Gawron,Bartosz Gawron,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",5,5,bartosz gawron,Bartosz Gawron
Malgorzata Kalbarczyk,Malgorzata Kalbarczyk,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",5,3,malgorzata kalbarczyk,Malgorzata Kalbarczyk-Steclik
Maciej Zawislak,Maciej Zawislak,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",5,4,maciej zawislak,Maciej Zawislak
Piotr Zuk,Piotr Zuk,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",5,4,piotr zuk,Piotr Zuk
Dariusz Gatarek,Dariusz Gatarek,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",4,2,dariusz gatarek,Dariusz Gatarek
Agata Gorny,Agata Gorny,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",4,3,agata gorny,Agata Gorny
Przemyslaw Rys,Przemyslaw Rys,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",4,4,przemyslaw rys,Przemyslaw Rys
Joanna Siwinska-gorzelak,Joanna Siwinska-gorzelak,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",4,2,siwinskagorzelak joanna,Siwinska-Gorzelak Joanna
Henryk Kozlowski,Henryk Kozlowski,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",4,1,henryk kozlowski,Henryk Kozlowski
Katarzyna Puchalska,Katarzyna Puchalska,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",4,4,katarzyna puchalska,Katarzyna Puchalska
Magdalena Walicka,Magdalena Walicka,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",4,3,magdalena walicka,Magdalena Walicka
Piotr Wojcik,Piotr Wojcik,Noise,,4,2,piotr tadeusz wojcik,Piotr Wojcik
Witold Grostal,Witold Grostal,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",4,4,witold grostal,Witold Grostal
Elzbieta Skrzeszewska-paczek,Elzbieta Skrzeszewska-paczek,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",4,4,elzbieta skrzeszewskapaczek,Elzbieta Skrzeszewska-Paczek
Hugh Morrison,Hugh Morrison,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",4,3,hugh morrison,Hugh Morrison
Oded Stark,Oded Stark,Noise,,4,2,oded stark,Oded Stark
Tomasz Bialecki,Tomasz Bialecki,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",4,4,tomasz bialecki,Tomasz Bialecki
Pawel Churski,Pawel Churski,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",4,3,pawel churski,Pawel Churski
Piotr Zoch,Piotr Zoch,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",4,3,piotr zoch,Piotr Zoch
Monika Puzianowska-kuznicka,Monika Puzianowska-kuznicka,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",4,3,monika puzianowskakuznicka,Monika Puzianowska-Kuznicka
Edward Franek,Edward Franek,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",4,3,edward franek,Edward Franek
Andrzej Sliwczynski,Andrzej Sliwczynski,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",4,3,andrzej sliwczynski,Andrzej Sliwczynski
Wasim Ahmad,Wasim Ahmad,Noise,,4,2,wasim ahmad,Wasim Ahmad
Melania Brzozowska,Melania Brzozowska,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",4,3,melania brzozowska,Melania Brzozowska
Artur Ochojski,Artur Ochojski,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",4,3,artur ochojski,Artur Ochojski
Jorge Garcia-hombrados,Jorge Garcia-hombrados,Noise,,4,2,jorge garciahombrados,Jorge Garcia-Hombrados
Muhammad Usman,Muhammad Usman,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",4,1,muhammad usman,Muhammad Usman
Adam Polko,Adam Polko,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",4,3,adam polko,Adam Polko
Mehmet Burak turgut,Mehmet Burak turgut,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",4,2,mehmet burak turgut,Mehmet Burak Turgut
Irfan Khan,Irfan Khan,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",3,2,irfan khan,Irfan Khan
Bartosz Witkowski,Bartosz Witkowski,Cluster 17,"article, research, determinant, includes, europe, objective, goal, development, theory, identify",3,2,bartosz witkowski,Bartosz Witkowski
Dagmara Mycielska,Dagmara Mycielska,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",3,3,dagmara mycielska,Dagmara Mycielska
Krzysztof Opolski,Krzysztof Opolski,Noise,,3,2,krzysztof opolski,Krzysztof Opolski
Joanna Niedzwiedzinska,Joanna Niedzwiedzinska,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",3,3,joanna niedzwiedzinska,Joanna Niedzwiedzinska
Departament Stabilnosci finansowej,Departament Stabilnosci finansowej,Noise,,3,2,departament stabilnosci finansowej,Departament Stabilnosci Finansowej
Magda Cizkowicz-pekala,Magda Cizkowicz-pekala,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",3,3,magda cizkowiczpekala,Magda Cizkowicz-Pekala
Grzegorz Tchorek,Grzegorz Tchorek,Noise,,3,2,grzegorz tchorek,Grzegorz Tchorek
Daniel Rutkowski,Daniel Rutkowski,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",3,2,daniel rutkowski,Daniel Rutkowski
Pawel Strawinski,Pawel Strawinski,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",3,2,pawel strawinski,Pawel Strawinski
Filip A dabrowski,Filip A dabrowski,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",3,2,filip a dabrowski,Filip A Dabrowski
Miroslaw Wielgos,Miroslaw Wielgos,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",3,2,miroslaw wielgos,Miroslaw Wielgos
Stefan Voigt,Stefan Voigt,Cluster 7,"constitutional, political, rule, country, society, gap, economic, period, empirical, country period",3,3,stefan voigt,Stefan Voigt
Jerg Gutmann,Jerg Gutmann,Cluster 7,"constitutional, political, rule, country, society, gap, economic, period, empirical, country period",3,3,jerg gutmann,Jerg Gutmann
Mateusz Wywial,Mateusz Wywial,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",3,3,mateusz wywial,Mateusz Wywial
Aleksander Gorniak,Aleksander Gorniak,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",3,3,aleksander gorniak,Aleksander Gorniak
Syed Ali ashiq kirmani,Syed Ali ashiq kirmani,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",3,1,syed ali ashiq kirmani,Syed Ali Ashiq Kirmani
Natalia Nehrebecka,Natalia Nehrebecka,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",3,1,natalia nehrebecka,Natalia Nehrebecka
Jacek Suda,Jacek Suda,Noise,,3,3,jacek suda,Jacek Suda
Markus Jantti,Markus Jantti,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",3,3,markus jantti,Markus Jantti
Tomasz Gajderowicz,Tomasz Gajderowicz,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",3,2,tomasz gajderowicz,Tomasz Gajderowicz
Markus M grabka,Markus M grabka,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",3,2,markus m grabka,Markus M Grabka
Ewa Zawojska,Ewa Zawojska,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",3,2,ewa zawojska,Ewa Zawojska
Marek Giergiczny,Marek Giergiczny,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",3,1,marek giergiczny,Marek Giergiczny
Ulrich Bindseil,Ulrich Bindseil,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",3,3,ulrich bindseil,Ulrich Bindseil
Geoffrey Jd hewings,Geoffrey Jd hewings,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",3,3,geoffrey jd hewings,Geoffrey Jd Hewings
Artur Pokropek,Artur Pokropek,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",3,1,artur pokropek,Artur Pokropek
Yelena Takhtamanova,Yelena Takhtamanova,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",3,2,yelena takhtamanova,Yelena Takhtamanova
Malgorzata Jablczynska,Malgorzata Jablczynska,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",3,3,malgorzata jablczynska,Malgorzata Jablczynska
Jerzy Wisniewski,Jerzy Wisniewski,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",3,3,jerzy wisniewski,Jerzy Wisniewski
Anna Bartczak,Anna Bartczak,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",3,1,anna bartczak,Anna Bartczak
Jose Maria casado,Jose Maria casado,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,2,jose maria casado,Jose Maria Casado
Tim Smeeding,Tim Smeeding,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",2,2,tim smeeding,Tim Smeeding
Gianni Valensin,Gianni Valensin,Noise,,2,1,gianni valensin,Gianni Valensin
Agnieszka Sobianowska-turek,Agnieszka Sobianowska-turek,Noise,,2,1,agnieszka sobianowskaturek,Agnieszka Sobianowska-Turek
Timothy M smeeding,Timothy M smeeding,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",2,2,timothy m smeeding,Timothy M Smeeding
Andrea Brandolini,Andrea Brandolini,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",2,2,andrea brandolini,Andrea Brandolini
Aleksandra Keska,Aleksandra Keska,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",2,2,aleksandra keska,Aleksandra Keska
Joachim R frick,Joachim R frick,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",2,1,joachim r frick,Joachim R Frick
Sonia Costa,Sonia Costa,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,2,sonia costa,Sonia Costa
Michael Ryan,Michael Ryan,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",2,1,michael ryan,Michael Ryan
Maciej Grzenda,Maciej Grzenda,Noise,,2,2,maciej grzenda,Maciej Grzenda
Wiktor Budzinski,Wiktor Budzinski,Noise,,2,1,wiktor budzinski,Wiktor Budzinski
Panagiota Tzamourani,Panagiota Tzamourani,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,2,panagiota tzamourani,Panagiota Tzamourani
Radoslaw Wlostowski,Radoslaw Wlostowski,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",2,2,radoslaw wlostowski,Radoslaw Wlostowski
Michal Myck,Michal Myck,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",2,1,michal myck,Michal Myck
Jonathan M horridge,Jonathan M horridge,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",2,2,jonathan m horridge,Jonathan M Horridge
Olympia Bover,Olympia Bover,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,2,olympia bover,Olympia Bover
Joanna Rachubik,Joanna Rachubik,Noise,,2,2,joanna rachubik,Joanna Rachubik
Malgorzata Macuda,Malgorzata Macuda,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",2,2,malgorzata macuda,Malgorzata Macuda
Anil Markandya,Anil Markandya,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,1,anil markandya,Anil Markandya
Marat Khairoutdinov,Marat Khairoutdinov,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",2,2,marat khairoutdinov,Marat Khairoutdinov
Elena Gaggelli,Elena Gaggelli,Noise,,2,1,elena gaggelli,Elena Gaggelli
Philip Du caju,Philip Du caju,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,2,philip du caju,Philip Du Caju
Badi H baltagi,Badi H baltagi,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",2,2,badi h baltagi,Badi H Baltagi
Remo Guerrini,Remo Guerrini,Noise,,2,1,remo guerrini,Remo Guerrini
Yvonne Mccarthy,Yvonne Mccarthy,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,2,yvonne mccarthy,Yvonne Mccarthy
Klaus Glenk,Klaus Glenk,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",2,2,klaus glenk,Klaus Glenk
Maurizio Remelli,Maurizio Remelli,Noise,,2,1,maurizio remelli,Maurizio Remelli
Piotr Modzelewski,Piotr Modzelewski,Noise,,2,1,piotr modzelewski,Piotr Modzelewski
Marcin Stepniak,Marcin Stepniak,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",2,2,marcin stepniak,Marcin Stepniak
Ewa Weychert,Ewa Weychert,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,1,ewa weychert,Ewa Weychert
Torrisi Richard c,Torrisi Richard c,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,1,richard c torrisi,Richard C Torrisi
Roman Dolata,Roman Dolata,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",2,1,roman dolata,Roman Dolata
Leszek Morawski,Leszek Morawski,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",2,1,leszek morawski,Leszek Morawski
Christian J delaunay,Christian J delaunay,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,1,christian j delaunay,Christian J Delaunay
Shahriar Akhavan,Shahriar Akhavan,Noise,,2,2,shahriar akhavan,Shahriar Akhavan
Jakub Zawieska,Jakub Zawieska,Noise,,2,2,jakub zawieska,Jakub Zawieska
Satia Rozynek,Satia Rozynek,Noise,,2,2,satia rozynek,Satia Rozynek
Agata Balmas,Agata Balmas,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",2,2,agata balmas,Agata Balmas
Kamila Waclawska,Kamila Waclawska,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",2,2,kamila waclawska,Kamila Waclawska
Marta Lubieniecka,Marta Lubieniecka,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,1,marta lubieniecka,Marta Lubieniecka
Monika Koppl turyna,Monika Koppl turyna,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",2,2,monika koppl turyna,Monika Koppl Turyna
Daniela Valensin,Daniela Valensin,Noise,,2,1,daniela valensin,Daniela Valensin
Ernesto Villanueva,Ernesto Villanueva,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,2,ernesto villanueva,Ernesto Villanueva
Tomasz Suchocki,Tomasz Suchocki,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",2,2,tomasz suchocki,Tomasz Suchocki
Tibor Zavadil,Tibor Zavadil,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,2,tibor zavadil,Tibor Zavadil
Marzena Maselewska,Marzena Maselewska,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",2,2,marzena maselewska,Marzena Maselewska
Beata Tarnacka,Beata Tarnacka,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",2,1,beata tarnacka,Beata Tarnacka
Jurgen Meyerhoff,Jurgen Meyerhoff,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",2,1,jurgen meyerhoff,Jurgen Meyerhoff
Lidia Kania,Lidia Kania,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",2,2,lidia kania,Lidia Kania
Ralph Hippe,Ralph Hippe,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",2,1,ralph hippe,Ralph Hippe
Iana Okhrimenko,Iana Okhrimenko,Noise,,2,1,iana okhrimenko,Iana Okhrimenko
Lukasz Michalowski,Lukasz Michalowski,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",2,2,lukasz michalowski,Lukasz Michalowski
Barbara Grzechocinska,Barbara Grzechocinska,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",2,2,barbara grzechocinska,Barbara Grzechocinska
Wojciech Rogowski,Wojciech Rogowski,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",2,2,wojciech rogowski,Wojciech Rogowski
Andrzej Raczko,Andrzej Raczko,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",2,2,andrzej raczko,Andrzej Raczko
Patrycja Beniak,Patrycja Beniak,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",2,2,patrycja beniak,Patrycja Beniak
