Id,Label,SemanticCluster,ClusterTerms,TotalPapers,TopClusterCount,NormId,Author,Community
Magdalena Kaniewska,Magdalena Kaniewska,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,Magdalena Kaniewska,Magdalena Kaniewska,3
Michael Ryan,Michael Ryan,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",2,1,Michael Ryan,Michael Ryan,3
Arjun S bedi,Arjun S bedi,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,Arjun S bedi,Arjun S bedi,21
Andrzej Cielik,Andrzej Cielik,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,Andrzej Cielik,Andrzej Cielik,21
Jan Hagemejer,Jan Hagemejer,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",21,7,Jan Hagemejer,Jan Hagemejer,10
Giang Hien tran,Giang Hien tran,Noise,,1,1,Giang Hien tran,Giang Hien tran,3
Ugochukwu Michael anyanwu,Ugochukwu Michael anyanwu,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,Ugochukwu Michael anyanwu,Ugochukwu Michael anyanwu,3
Amarachukwu Anthony anyanwu,Amarachukwu Anthony anyanwu,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,Amarachukwu Anthony anyanwu,Amarachukwu Anthony anyanwu,3
Jan Michalek,Jan Michalek,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",6,4,Jan Michalek,Jan Michalek,3
Anna Michalek,Anna Michalek,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",6,6,Anna Michalek,Anna Michalek,3
Jan Jakub michalek,Jan Jakub michalek,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",21,14,Jan Jakub michalek,Jan Jakub michalek,3
Jerzy Mycielski,Jerzy Mycielski,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",24,11,Jerzy Mycielski,Jerzy Mycielski,3
Aleksandra Parteka,Aleksandra Parteka,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,Aleksandra Parteka,Aleksandra Parteka,3
Jan J michalek,Jan J michalek,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",3,3,Jan J michalek,Jan J michalek,3
Lucia Banci,Lucia Banci,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,Lucia Banci,Lucia Banci,4
Ivano Bertini,Ivano Bertini,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,Ivano Bertini,Ivano Bertini,4
Simone Ciofi-baffoni,Simone Ciofi-baffoni,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,Simone Ciofi-baffoni,Simone Ciofi-baffoni,4
Anna Janicka,Anna Janicka,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",13,7,Anna Janicka,Anna Janicka,4
Manuele Martinelli,Manuele Martinelli,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,Manuele Martinelli,Manuele Martinelli,4
Henryk Kozlowski,Henryk Kozlowski,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",4,1,Henryk Kozlowski,Henryk Kozlowski,4
Peep Palumaa,Peep Palumaa,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,Peep Palumaa,Peep Palumaa,4
Francesco Berti,Francesco Berti,Noise,,1,1,Francesco Berti,Francesco Berti,4
Elena Gaggelli,Elena Gaggelli,Noise,,2,1,Elena Gaggelli,Elena Gaggelli,4
Remo Guerrini,Remo Guerrini,Noise,,2,1,Remo Guerrini,Remo Guerrini,4
Anna Legowska,Anna Legowska,Noise,,1,1,Anna Legowska,Anna Legowska,4
Hanna Miecznikowska,Hanna Miecznikowska,Noise,,1,1,Hanna Miecznikowska,Hanna Miecznikowska,4
Caterina Migliorini,Caterina Migliorini,Noise,,1,1,Caterina Migliorini,Caterina Migliorini,4
Rebecca Pogni,Rebecca Pogni,Noise,,1,1,Rebecca Pogni,Rebecca Pogni,4
Maurizio Remelli,Maurizio Remelli,Noise,,2,1,Maurizio Remelli,Maurizio Remelli,4
Krzysztof Rolka,Krzysztof Rolka,Noise,,1,1,Krzysztof Rolka,Krzysztof Rolka,4
Daniela Valensin,Daniela Valensin,Noise,,2,1,Daniela Valensin,Daniela Valensin,4
Gianni Valensin,Gianni Valensin,Noise,,2,1,Gianni Valensin,Gianni Valensin,4
Agnieszka Sobianowska-turek,Agnieszka Sobianowska-turek,Noise,,2,1,Agnieszka Sobianowska-turek,Agnieszka Sobianowska-turek,4
Weronika Urbanska,Weronika Urbanska,Noise,,1,1,Weronika Urbanska,Weronika Urbanska,4
Maciej Zawislak,Maciej Zawislak,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",5,4,Maciej Zawislak,Maciej Zawislak,4
Jedrzej Matla,Jedrzej Matla,Noise,,1,1,Jedrzej Matla,Jedrzej Matla,4
Francesca Maria mancini,Francesca Maria mancini,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,Francesca Maria mancini,Francesca Maria mancini,4
Marek Luczkowski,Marek Luczkowski,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,Marek Luczkowski,Marek Luczkowski,4
Kornelia Wisniewska,Kornelia Wisniewska,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,Kornelia Wisniewska,Kornelia Wisniewska,4
Leszek Lankiewicz,Leszek Lankiewicz,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,Leszek Lankiewicz,Leszek Lankiewicz,4
Bartosz Gawron,Bartosz Gawron,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",5,5,Bartosz Gawron,Bartosz Gawron,4
Tomasz Bialecki,Tomasz Bialecki,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",4,4,Tomasz Bialecki,Tomasz Bialecki,4
Tomasz Suchocki,Tomasz Suchocki,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",2,2,Tomasz Suchocki,Tomasz Suchocki,4
Aleksander Gorniak,Aleksander Gorniak,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",3,3,Aleksander Gorniak,Aleksander Gorniak,4
Pawel Kazimierski,Pawel Kazimierski,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,Pawel Kazimierski,Pawel Kazimierski,4
Piotr Lampart,Piotr Lampart,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,Piotr Lampart,Piotr Lampart,4
Katarzyna Januszewicz,Katarzyna Januszewicz,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,Katarzyna Januszewicz,Katarzyna Januszewicz,4
Bialecki T,Bialecki T,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,Bialecki T,Bialecki T,4
Janicka A,Janicka A,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",5,4,Janicka A,Janicka A,4
Martina Donatoni,Martina Donatoni,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,Martina Donatoni,Martina Donatoni,4
Pierluigi Pretegiani,Pierluigi Pretegiani,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,Pierluigi Pretegiani,Pierluigi Pretegiani,4
Ewa Zaczynska,Ewa Zaczynska,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,Ewa Zaczynska,Ewa Zaczynska,4
Anna Czarny,Anna Czarny,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,Anna Czarny,Anna Czarny,4
Anna Barbara janicka,Anna Barbara janicka,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,Anna Barbara janicka,Anna Barbara janicka,4
Marek Reksa,Marek Reksa,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,Marek Reksa,Marek Reksa,4
Aleksandra Banasiewicz,Aleksandra Banasiewicz,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,Aleksandra Banasiewicz,Aleksandra Banasiewicz,4
Anna Michalak,Anna Michalak,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,Anna Michalak,Anna Michalak,4
Radoslaw Wlostowski,Radoslaw Wlostowski,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",2,2,Radoslaw Wlostowski,Radoslaw Wlostowski,4
Aleksandra Keska,Aleksandra Keska,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",2,2,Aleksandra Keska,Aleksandra Keska,4
Justyna Molska,Justyna Molska,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,Justyna Molska,Justyna Molska,4
Adriana Wloka,Adriana Wloka,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,Adriana Wloka,Adriana Wloka,4
Joanna Swiesciak,Joanna Swiesciak,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,Joanna Swiesciak,Joanna Swiesciak,4
Kacper Ostrowski,Kacper Ostrowski,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,Kacper Ostrowski,Kacper Ostrowski,4
Zawislak M,Zawislak M,Noise,,1,1,Zawislak M,Zawislak M,4
Zaczynska E,Zaczynska E,Noise,,1,1,Zaczynska E,Zaczynska E,4
Czarny A,Czarny A,Noise,,1,1,Czarny A,Czarny A,4
Walkowiak W,Walkowiak W,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,Walkowiak W,Walkowiak W,4
Keska A,Keska A,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,Keska A,Keska A,4
Agnieszka Fihel,Agnieszka Fihel,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",7,3,Agnieszka Fihel,Agnieszka Fihel,7
Malgorzata Kalbarczyk,Malgorzata Kalbarczyk,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",5,3,Malgorzata Kalbarczyk,Malgorzata Kalbarczyk,5
Anna Nicinska,Anna Nicinska,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",19,5,Anna Nicinska,Anna Nicinska,5
Anita Abramowska-kmon,Anita Abramowska-kmon,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Anita Abramowska-kmon,Anita Abramowska-kmon,5
Malgorzata Bala,Malgorzata Bala,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Malgorzata Bala,Malgorzata Bala,5
Agnieszka Chlon-dominczak,Agnieszka Chlon-dominczak,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Agnieszka Chlon-dominczak,Agnieszka Chlon-dominczak,5
Dorota Holzer-zelazewska,Dorota Holzer-zelazewska,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Dorota Holzer-zelazewska,Dorota Holzer-zelazewska,5
Malgorzata Kalbarczyk-steclik,Malgorzata Kalbarczyk-steclik,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",3,3,Malgorzata Kalbarczyk-steclik,Malgorzata Kalbarczyk-steclik,5
Irena E kotowska,Irena E kotowska,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Irena E kotowska,Irena E kotowska,5
Anna Maliszewka,Anna Maliszewka,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Anna Maliszewka,Anna Maliszewka,5
Magdalena Michalejko,Magdalena Michalejko,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Magdalena Michalejko,Magdalena Michalejko,5
Michal Myck,Michal Myck,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",2,1,Michal Myck,Michal Myck,5
Mateusz Najsztub,Mateusz Najsztub,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Mateusz Najsztub,Mateusz Najsztub,5
Monika Oczkowska,Monika Oczkowska,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Monika Oczkowska,Monika Oczkowska,5
Wojciech Paczynski,Wojciech Paczynski,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Wojciech Paczynski,Wojciech Paczynski,5
Marta Palczynska,Marta Palczynska,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Marta Palczynska,Marta Palczynska,5
Maja Rynko,Maja Rynko,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Maja Rynko,Maja Rynko,5
Roman Topor-madry,Roman Topor-madry,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Roman Topor-madry,Roman Topor-madry,5
Joan Costa-font,Joan Costa-font,Noise,,6,2,Joan Costa-font,Joan Costa-font,5
Jorge Garcia-hombrados,Jorge Garcia-hombrados,Noise,,4,2,Jorge Garcia-hombrados,Jorge Garcia-hombrados,5
Shahriar Akhavan,Shahriar Akhavan,Noise,,2,2,Shahriar Akhavan,Shahriar Akhavan,5
Maciej Grzenda,Maciej Grzenda,Noise,,2,2,Maciej Grzenda,Maciej Grzenda,5
Joanna Rachubik,Joanna Rachubik,Noise,,2,2,Joanna Rachubik,Joanna Rachubik,5
Satia Rozynek,Satia Rozynek,Noise,,2,2,Satia Rozynek,Satia Rozynek,5
Jakub Zawieska,Jakub Zawieska,Noise,,2,2,Jakub Zawieska,Jakub Zawieska,5
Grzegorz Kula,Grzegorz Kula,Noise,,14,4,Grzegorz Kula,Grzegorz Kula,5
Agata Miazga,Agata Miazga,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,Agata Miazga,Agata Miazga,5
Bartlomiej Rokicki,Bartlomiej Rokicki,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",18,16,Bartlomiej Rokicki,Bartlomiej Rokicki,11
Marcin Stepniak,Marcin Stepniak,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",2,2,Marcin Stepniak,Marcin Stepniak,11
Mark Horridge,Mark Horridge,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,Mark Horridge,Mark Horridge,11
Geoffrey Jd hewings,Geoffrey Jd hewings,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",3,3,Geoffrey Jd hewings,Geoffrey Jd hewings,11
Badi H baltagi,Badi H baltagi,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",2,2,Badi H baltagi,Badi H baltagi,11
Eduardo A haddad,Eduardo A haddad,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,Eduardo A haddad,Eduardo A haddad,11
Jonathan M horridge,Jonathan M horridge,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",2,2,Jonathan M horridge,Jonathan M horridge,11
Lukasz Arendt,Lukasz Arendt,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,Lukasz Arendt,Lukasz Arendt,11
Agnieszka Hryniewicka,Agnieszka Hryniewicka,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,Agnieszka Hryniewicka,Agnieszka Hryniewicka,11
Iwona Kukulak-dolata,Iwona Kukulak-dolata,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,Iwona Kukulak-dolata,Iwona Kukulak-dolata,11
Oliver Fritz,Oliver Fritz,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,Oliver Fritz,Oliver Fritz,11
Kenia Barreiro de souza,Kenia Barreiro de souza,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,Kenia Barreiro de souza,Kenia Barreiro de souza,11
Krzysztof Ostaszewski,Krzysztof Ostaszewski,Noise,,1,1,Krzysztof Ostaszewski,Krzysztof Ostaszewski,11
Mieczyslaw W socha,Mieczyslaw W socha,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,Mieczyslaw W socha,Mieczyslaw W socha,11
Eva M sierminska,Eva M sierminska,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",2,2,Eva M sierminska,Eva M sierminska,20
Joachim R frick,Joachim R frick,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",2,1,Joachim R frick,Joachim R frick,20
Markus M grabka,Markus M grabka,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",3,2,Markus M grabka,Markus M grabka,20
Eva Sierminska,Eva Sierminska,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",14,9,Eva Sierminska,Eva Sierminska,20
Andrea Brandolini,Andrea Brandolini,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",2,2,Andrea Brandolini,Andrea Brandolini,20
Timothy M smeeding,Timothy M smeeding,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",2,2,Timothy M smeeding,Timothy M smeeding,20
Jan Marcus,Jan Marcus,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",1,1,Jan Marcus,Jan Marcus,20
Timothy Smeeding,Timothy Smeeding,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",2,2,Timothy Smeeding,Timothy Smeeding,20
Markus Jantti,Markus Jantti,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",3,3,Markus Jantti,Markus Jantti,20
Tim Smeeding,Tim Smeeding,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",2,2,Tim Smeeding,Tim Smeeding,20
Janet C gornick,Janet C gornick,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",1,1,Janet C gornick,Janet C gornick,20
Yelena Takhtamanova,Yelena Takhtamanova,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",3,2,Yelena Takhtamanova,Yelena Takhtamanova,20
Karina Doorley,Karina Doorley,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,Karina Doorley,Karina Doorley,20
Philippe Van kerm,Philippe Van kerm,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",1,1,Philippe Van kerm,Philippe Van kerm,20
Olympia Bover,Olympia Bover,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,2,Olympia Bover,Olympia Bover,20
Jose Maria casado,Jose Maria casado,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,2,Jose Maria casado,Jose Maria casado,20
Sonia Costa,Sonia Costa,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,2,Sonia Costa,Sonia Costa,20
Philip Du caju,Philip Du caju,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,2,Philip Du caju,Philip Du caju,20
Yvonne Mccarthy,Yvonne Mccarthy,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,2,Yvonne Mccarthy,Yvonne Mccarthy,20
Panagiota Tzamourani,Panagiota Tzamourani,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,2,Panagiota Tzamourani,Panagiota Tzamourani,20
Ernesto Villanueva,Ernesto Villanueva,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,2,Ernesto Villanueva,Ernesto Villanueva,20
Tibor Zavadil,Tibor Zavadil,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,2,Tibor Zavadil,Tibor Zavadil,20
Bover O,Bover O,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,Bover O,Bover O,35
Casado Jm,Casado Jm,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,Casado Jm,Casado Jm,35
Costa S,Costa S,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,Costa S,Costa S,35
Caju Pd,Caju Pd,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,Caju Pd,Caju Pd,35
Mccarthy Y,Mccarthy Y,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,Mccarthy Y,Mccarthy Y,35
Sierminska E,Sierminska E,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,Sierminska E,Sierminska E,35
Tzamourani P,Tzamourani P,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,Tzamourani P,Tzamourani P,35
Villanueva E,Villanueva E,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,Villanueva E,Villanueva E,35
Zavadil T,Zavadil T,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,Zavadil T,Zavadil T,35
Ewa Weychert,Ewa Weychert,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,1,Ewa Weychert,Ewa Weychert,17
Aleksandra Kolasa,Aleksandra Kolasa,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Aleksandra Kolasa,Aleksandra Kolasa,17
Monika Koppl turyna,Monika Koppl turyna,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",2,2,Monika Koppl turyna,Monika Koppl turyna,5
Agata Balmas,Agata Balmas,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",2,2,Agata Balmas,Agata Balmas,5
Kamila Waclawska,Kamila Waclawska,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",2,2,Kamila Waclawska,Kamila Waclawska,5
Grazyna Bukowska,Grazyna Bukowska,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Grazyna Bukowska,Grazyna Bukowska,5
Leszek Morawski,Leszek Morawski,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",2,1,Leszek Morawski,Leszek Morawski,5
Barbara Karbownik,Barbara Karbownik,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",1,1,Barbara Karbownik,Barbara Karbownik,5
Marek Gora,Marek Gora,Noise,,1,1,Marek Gora,Marek Gora,26
