Id,Label,SemanticCluster,ClusterTerms,TotalPapers,TopClusterCount
Mochowska Magdalena,Młochowska Magdalena,Cluster 12,"public, local, government, sector, spending, limit, expenditure, good, revenue, city",1,1
Andrzej Cieslik,Andrzej Cieślik,Cluster 1,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, activity",53,19
Magdalena Kaniewska,Magdalena Kaniewska,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",1,1
Michael Ryan,Michael Ryan,Cluster 4,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",2,1
Arjun S bedi,Arjun S Bedi,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",1,1
Andrzej Cielik,Andrzej Cielik,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",1,1
Jan Hagemejer,Jan Hagemejer,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",21,7
Giang Hien tran,Giang Hien Tran,Noise,,1,1
Ugochukwu Michael anyanwu,Ugochukwu Michael Anyanwu,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Amarachukwu Anthony anyanwu,Amarachukwu Anthony Anyanwu,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Jan Michaek,Jan Michałek,Cluster 1,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, activity",4,4
Anna Michaek,Anna Michałek,Cluster 1,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, activity",6,6
Jan Jakub michaek,Jan Jakub Michałek,Cluster 1,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, activity",19,13
Jerzy Mycielski,Jerzy Mycielski,Cluster 4,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",24,11
Aleksandra Parteka,Aleksandra Parteka,Cluster 1,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, activity",1,1
Jan J michaek,Jan J Michałek,Cluster 4,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",3,3
Lucia Banci,Lucia Banci,Cluster 4,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1
Ivano Bertini,Ivano Bertini,Cluster 4,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1
Simone Ciofi-baffoni,Simone Ciofi-Baffoni,Cluster 4,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1
Anna Janicka,Anna Janicka,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",13,8
Manuele Martinelli,Manuele Martinelli,Cluster 4,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1
Henryk Kozlowski,Henryk Kozlowski,Cluster 4,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",3,1
Peep Palumaa,Peep Palumaa,Cluster 4,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1
Francesco Berti,Francesco Berti,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Elena Gaggelli,Elena Gaggelli,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",2,1
Remo Guerrini,Remo Guerrini,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",2,1
Anna Legowska,Anna Legowska,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Hanna Miecznikowska,Hanna Miecznikowska,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Caterina Migliorini,Caterina Migliorini,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Rebecca Pogni,Rebecca Pogni,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Maurizio Remelli,Maurizio Remelli,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",2,1
Krzysztof Rolka,Krzysztof Rolka,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Daniela Valensin,Daniela Valensin,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",2,1
Gianni Valensin,Gianni Valensin,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",2,1
Agnieszka Sobianowska-turek,Agnieszka Sobianowska-Turek,Cluster 13,"trust, article, research, factor, technology, network, determinant, exposure, value, aim",2,1
Weronika Urbanska,Weronika Urbańska,Cluster 13,"trust, article, research, factor, technology, network, determinant, exposure, value, aim",1,1
Maciej Zawislak,Maciej Zawiślak,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",5,4
Jedrzej Matla,Jędrzej Matla,Cluster 13,"trust, article, research, factor, technology, network, determinant, exposure, value, aim",1,1
Francesca Maria mancini,Francesca Maria Mancini,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Kornelia Wisniewska,Kornelia Wiśniewska,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Bartosz Gawron,Bartosz Gawron,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",5,5
Tomasz Biaecki,Tomasz Białecki,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",4,4
Tomasz Suchocki,Tomasz Suchocki,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",2,2
Aleksander Gorniak,Aleksander Górniak,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",3,3
Pawe Kazimierski,Paweł Kazimierski,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Piotr Lampart,Piotr Lampart,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Katarzyna Januszewicz,Katarzyna Januszewicz,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Biaecki T,T Białecki,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Janicka A,A Janicka,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",5,4
Martina Donatoni,Martina Donatoni,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",1,1
Pierluigi Pretegiani,Pierluigi Pretegiani,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",1,1
Henryk Kozowski,Henryk Kozłowski,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",1,1
Ewa Zaczynska,Ewa Zaczyńska,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Anna Czarny,Anna Czarny,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Anna Barbara janicka,Anna Barbara Janicka,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Marek Reksa,Marek Reksa,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Aleksandra Banasiewicz,Aleksandra Banasiewicz,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Anna Michalak,Anna Michalak,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Radosaw Wostowski,Radosław Włostowski,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",2,2
Aleksandra Keska,Aleksandra Kęska,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",2,2
Justyna Molska,Justyna Molska,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Adriana Woka,Adriana Włóka,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Joanna Swiesciak,Joanna Świeściak,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Kacper Ostrowski,Kacper Ostrowski,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Zawislak M,M Zawiślak,Cluster 13,"trust, article, research, factor, technology, network, determinant, exposure, value, aim",1,1
Zaczynska E,E Zaczyńska,Cluster 13,"trust, article, research, factor, technology, network, determinant, exposure, value, aim",1,1
Czarny A,A Czarny,Cluster 13,"trust, article, research, factor, technology, network, determinant, exposure, value, aim",1,1
Walkowiak W,W Walkowiak,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Keska A,A Kęska,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Agnieszka Fihel,Agnieszka Fihel,Cluster 16,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",7,3
Magorzata Kalbarczyk,Małgorzata Kalbarczyk,Cluster 16,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",4,3
Anna Nicinska,Anna Nicińska,Cluster 16,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",16,4
Anita Abramowska-kmon,Anita Abramowska-Kmon,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Magorzata Baa,Małgorzata Bała,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Agnieszka Chon-dominczak,Agnieszka Chłoń-Domińczak,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Dorota Holzer-zelazewska,Dorota Holzer-Żelażewska,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Magorzata Kalbarczyk-steclik,Małgorzata Kalbarczyk-Stęclik,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",3,2
Irena E kotowska,Irena E Kotowska,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Anna Maliszewka,Anna Maliszewka,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Magdalena Michaejko,Magdalena Michałejko,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Micha Myck,Michał Myck,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",2,1
Mateusz Najsztub,Mateusz Najsztub,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Monika Oczkowska,Monika Oczkowska,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Wojciech Paczynski,Wojciech Paczyński,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Marta Palczynska,Marta Palczyńska,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Maja Rynko,Maja Rynko,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Roman Topor-madry,Roman Topór-Mądry,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Malgorzata Kalbarczyk,Malgorzata Kalbarczyk,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Joan Costa-font,Joan Costa-Font,Cluster 13,"trust, article, research, factor, technology, network, determinant, exposure, value, aim",5,2
Jorge Garcia-hombrados,Jorge Garcia-Hombrados,Cluster 13,"trust, article, research, factor, technology, network, determinant, exposure, value, aim",2,2
Joan Costafont,Joan Costa‐Font,Cluster 16,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1
Shahriar Akhavan,Shahriar Akhavan,Noise,,2,2
Maciej Grzenda,Maciej Grzenda,Noise,,2,2
Joanna Rachubik,Joanna Rachubik,Noise,,2,2
Satia Rozynek,Satia Rożynek,Noise,,2,2
Jakub Zawieska,Jakub Zawieska,Noise,,2,2
Grzegorz Kula,Grzegorz Kula,Noise,,14,3
Agata Miazga,Agata Miazga,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Bartlomiej Rokicki,Bartlomiej Rokicki,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",11,10
Marcin Stepniak,Marcin Stępniak,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",2,2
Mark Horridge,Mark Horridge,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",1,1
Geoffrey Jd hewings,Geoffrey JD Hewings,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",3,3
Badi H baltagi,Badi H Baltagi,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",2,2
Eduardo A haddad,Eduardo A Haddad,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",1,1
Jonathan M horridge,Jonathan M Horridge,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",2,2
Agnieszka Hryniewicka,Agnieszka Hryniewicka,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Iwona Kukulak-dolata,Iwona Kukulak-Dolata,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Bartomiej Rokicki,Bartłomiej Rokicki,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",7,6
Oliver Fritz,Oliver Fritz,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",1,1
Kenia Barreiro de souza,Kênia Barreiro de Souza,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",1,1
Krzysztof Ostaszewski,Krzysztof Ostaszewski,Noise,,1,1
Mieczyslaw W socha,Mieczyslaw W Socha,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",1,1
Eva M sierminska,Eva M Sierminska,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",2,2
Joachim R frick,Joachim R Frick,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",2,1
Markus M grabka,Markus M Grabka,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",3,2
Eva Sierminska,Eva Sierminska,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",14,9
Andrea Brandolini,Andrea Brandolini,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",2,2
Timothy M smeeding,Timothy M Smeeding,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",2,2
Jan Marcus,Jan Marcus,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",1,1
Timothy Smeeding,Timothy Smeeding,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",2,2
Markus Jantti,Markus Jantti,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",2,2
Tim Smeeding,Tim Smeeding,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",2,2
Janet C gornick,Janet C Gornick,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",1,1
Yelena Takhtamanova,Yelena Takhtamanova,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",3,2
Karina Doorley,Karina Doorley,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",1,1
Philippe Van kerm,Philippe Van Kerm,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",1,1
Olympia Bover,Olympia Bover,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",2,2
Jose Maria casado,Jose Maria Casado,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Sonia Costa,Sonia Costa,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",2,2
Philip Du caju,Philip Du Caju,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",2,2
Yvonne Mccarthy,Yvonne McCarthy,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",2,2
Panagiota Tzamourani,Panagiota Tzamourani,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",2,2
Ernesto Villanueva,Ernesto Villanueva,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",2,2
Tibor Zavadil,Tibor Zavadil,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",2,2
Bover O,O Bover,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Casado Jm,JM Casado,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Costa S,S Costa,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Caju Pd,PD Caju,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Mccarthy Y,Y McCarthy,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Sierminska E,E Sierminska,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Tzamourani P,P Tzamourani,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Villanueva E,E Villanueva,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Zavadil T,T Zavadil,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Ewa Weychert,Ewa Weychert,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",2,1
Aleksandra Kolasa,Aleksandra Kolasa,Noise,,1,1
Monika Koppl turyna,Monika Köppl Turyna,Cluster 2,"growth, cycle, business, expenditure, concentration, effect, country, period, sectoral, result",2,2
Agata Balmas,Agata Balmas,Cluster 2,"growth, cycle, business, expenditure, concentration, effect, country, period, sectoral, result",2,2
Kamila Waclawska,Kamila Waclawska,Cluster 2,"growth, cycle, business, expenditure, concentration, effect, country, period, sectoral, result",2,2
Grazyna Bukowska,Grażyna Bukowska,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Leszek Morawski,Leszek Morawski,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",2,1
Barbara Karbownik,Barbara Karbownik,Cluster 12,"public, local, government, sector, spending, limit, expenditure, good, revenue, city",1,1
Marek Gora,Marek Góra,Noise,,1,1
Kula Gj,GJ Kula,Noise,,1,1
Magdalena Rokicka,Magdalena Rokicka,Noise,,1,1
Oleksandr Rohozynsky,Oleksandr Rohozynsky,Noise,,1,1
Anna Ruzik,Anna Ruzik,Noise,,1,1
Anna Ruzik-sierdzinska,Anna Ruzik-Sierdzińska,Noise,,1,1
Aleksandra Wasowicz,Aleksandra Wąsowicz,Cluster 12,"public, local, government, sector, spending, limit, expenditure, good, revenue, city",1,1
Piotr Wojcik,Piotr Wójcik,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",4,3
Piotr Tadeusz wojcik,Piotr Tadeusz Wójcik,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Marcin Kolasa,Marcin Kolasa,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",11,8
Grzegorz Wesoowski,Grzegorz Wesołowski,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",16,11
Micha Brzoza-brzezina,Michał Brzoza-Brzezina,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",9,7
Krzysztof Makarski,Krzysztof Makarski,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",10,8
Magda Cizkowicz-pekaa,Magda Ciżkowicz-Pękała,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",3,3
Witold Grostal,Witold Grostal,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",4,4
Joanna Niedzwiedzinska,Joanna Niedźwiedzińska,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",3,3
Elzbieta Skrzeszewska-paczek,Elżbieta Skrzeszewska-Paczek,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",4,4
Ewa Stawasz-grabowska,Ewa Stawasz-Grabowska,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Piotr Zuk,Piotr Żuk,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",5,4
Magda Cizkowicz,Magda Ciżkowicz,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Magorzata Walerych,Małgorzata Walerych,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",1,1
Juliusz Jablecki,Juliusz Jablecki,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",7,3
Andrzej Raczko,Andrzej Raczko,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",2,2
Grzegorz Wesolowski,Grzegorz Wesolowski,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",3,3
Juliusz Jabecki,Juliusz Jabłecki,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",13,6
Patrycja Beniak,Patrycja Beniak,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",2,2
Roland Beck,Roland Beck,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Beatrice Scheubel,Beatrice Scheubel,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Axel Bruggemann,Axel Brüggemann,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Isabella Moder,Isabella Moder,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Alberto Fuentes,Alberto Fuentes,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Joel Graca alves,Joel Graça Alves,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Lilian Kreitz,Lilian Kreitz,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Luis Molina sanchez,Luis Molina Sánchez,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Floriane Van den,Floriane Van Den,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Carlijn Eijking,Carlijn Eijking,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Markus Eller,Markus Eller,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Clement Marsilli,Clément Marsilli,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Alain Naef,Alain Naef,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Valerio Nispi landi,Valerio Nispi Landi,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Anastasia Theofilakou,Anastasia Theofilakou,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Juan Carlos berganza,Juan Carlos Berganza,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Rafael Cezar,Rafael Cezar,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Micha Brzozabrzezina,Michał Brzoza‐Brzezina,Cluster 2,"growth, cycle, business, expenditure, concentration, effect, country, period, sectoral, result",1,1
Jacek Kotowski,Jacek Kotłowski,Cluster 2,"growth, cycle, business, expenditure, concentration, effect, country, period, sectoral, result",2,1
