Author,Community
Elzbieta Izabela szczepankiewicz,12
Ewa Rozanska,12
Helena Poetschke,12
Joanna Blazynska,12
Lukasz Matuszak,12
Magdalena Kowalczyk,12
Malgorzata Czerny,12
Malgorzata Macuda,12
Marek Cieslak,12
Marek Masztalerz,12
Maria Kiedrowska,12
Marzena Remlein,12
Piotr Gut,12
Remigiusz Napiecek,12
Wojciech Fliegner,12
Agnieszka Pugacewicz,3
Alfred Tovias,3
Jacek Rothert,3
Jan Hagemejer,10
Jan Michalek,3
Mark Vancauteren,3
Victoria Roshal,3
Agnieszka Sobianowska-turek,4
Anna Barbara janicka,4
Jedrzej Matla,4
Marek Reksa,4
Weronika Urbanska,4
Agnieszka Stazka-gawrysiak,10
Anna Kosior,10
Beata Bierut,10
Izabela D tymoczko,10
Jacek Lewkowicz,10
Jakub Growiec,10
Jakub Muck,10
Kamil Wierus,10
Katarzyna Puchalska,10
Magdalena Rola-janicka,10
Marcin Grela,10
Marcin Tomkiewicz,10
Marek Niechcial,10
Michal Gradzewicz,10
Michal Rubaszek,10
Paulina Broniatowska,10
Piotr Popowski,10
Rafal Slubowski,10
Stanislaw Cichocki,10
Tomasz Michalek,10
Tomasz Piasecki,10
Wawrzyniec Suleja,10
Wojciech Mroczek,10
Agnieszka Tuszynska,16
Andrzej Jacyna,16
Andrzej Sliwczynski,16
Daniel Rutkowski,16
Edward Franek,16
Magdalena Walicka,16
Marcin Czech,16
Melania Brzozowska,16
Monika Puzianowska-kuznicka,16
Yaroslav Sanchak,16
Ahmad W,13
Arshad Hm,13
Ashraf Ru,13
Saeed R,13
Zaidi Sah,13
Ain Aaviksoo,8
Gerli Paat-ahi,8
Group Eurodrg,8
Janek Saluse,8
Maria Swiderek,8
Pawel Sakowski,8
Aitor Lacuesta,7
Bela Galgoczi,7
Carlos Vargas-silva,7
Janine Leschke,7
Juan F jimeno,7
Mario Izquierdo peinado,7
Matthias Busse,7
Mikkel Barslund,7
Timo Baas,7
Akio Arakawa,14
David Randall,14
Marat Khairoutdinov,14
Wojciech Grabowski,3
Alain Naef,15
Alberto Fuentes,15
Anastasia Theofilakou,15
Axel Bruggemann,15
Beatrice Scheubel,15
Carlijn Eijking,15
Clement Marsilli,15
Floriane Van den,15
Grzegorz Wesolowski,15
Isabella Moder,15
Joel Graca alves,15
Juan Carlos berganza,15
Lilian Kreitz,15
Luis Molina sanchez,15
Markus Eller,15
Rafael Cezar,15
Roland Beck,15
Valerio Nispi landi,15
Albina Jegorowa,16
Grzegorz Wieczorek,16
Janusz Gajda,16
Kamila Kontna,16
Katarzyna Chyrowicz,16
Michal Korycki,16
Michal Kruk,16
Aleksander Gorniak,4
Anna Czarny,4
Bartosz Gawron,4
Ewa Zaczynska,4
Tomasz Bialecki,4
Aleksandra Banasiewicz,4
Anna Michalak,4
Aleksandra Kolasa,17
Ewa Weychert,17
Aleksandra Naganska,10
Aleksandra Parteka,3
Andrzej Cieslik,3
Aleksandra Wasowicz,5
Aleksandra Wisniewska,18
Christian A vossler,18
Ewa Zawojska,18
Mikolaj Czajkowski,18
Wiktor Budzinski,18
Alexei Korolev,14
Ann M fridlind,14
Corinna Hoose,14
Derek J posselt,14
Diedenhoven Van bastiaan,14
Hanna Pawlowska,14
Hugh Morrison,14
Jason A milbrandt,14
Jerry Y harrington,14
Karly J reimel,14
Lier-walqui Van marcus,14
Lulin Xue,14
Matthew R kumjian,14
Olivier P prat,14
Shin-ichiro Shima,14
Wojciech W grabowski,14
Ali Hashemizadeh,0
Irfan Khan,0
Syed Anees haider zaidi,0
Alicja Gosiewska,16
Anna Kozak,16
Dominik Ogonowski,16
Jakub Sztachelski,16
Piotr Wojewnik,16
Przemyslaw Biecek,16
Alistair Hunt,19
Ami D,19
Bartczak A,19
Braun-kohlova M,19
Chilton S,19
Czajkowski M,19
Desaigues B,19
Farreras V,19
Hutchison M,19
Jeanrenaud C,19
Kaderjak P,19
Maca V,19
Markiewicz O,19
Markowska A,19
Metcalf H,19
Navrud S,19
Nielsen Seested j,19
Ortiz R,19
Pellegrini S,19
Rabl A,19
Riera R,19
Scasny M,19
Stoeckel M-e,19
Szanto R,19
Urban J,19
Aljona Karloseva,18
Anni Huhtala,18
Berit Hasler,18
Daija Angeli,18
Daiva Semeniene,18
Heini Ahtiainen,18
Ieva Oskolokaite,18
James Cr smart,18
Janne Artell,18
Jurgen Meyerhoff,18
Kari Hyytiainen,18
Kim Dahlbo,18
Kristine Pakalniete,18
Linus Hasselstrom,18
Louise Martinsen,18
Marie Maar,18
Mohammed H alemu,18
Tea Nommann,18
Tore Soderqvist,18
Vivi Fleming-lehtinen,18
Yulia Khaleeva,18
Amarachukwu Anthony anyanwu,3
Ugochukwu Michael anyanwu,3
Amber Iqbal,0
Ayesha Riaz,0
Rashid Saeed,0
And Richard woodward krzysztof szczygielski,3
Andrea Brandolini,20
Eva Sierminska,20
Timothy M smeeding,20
Timothy Smeeding,20
Andrzej Cielik,21
Arjun S bedi,21
Andrzej Cieoelik,22
Anna Micha3ek,22
Jan Micha3ek,22
Anna Michalek,3
Giang Hien tran,3
Jan J michalek,3
Jan Jakub michalek,3
Jerzy Mycielski,3
Krzysztof Szczygielski,3
Lukasz Goczek,3
Magdalena Kaniewska,3
Mehmet Burak turgut,3
Michael Ryan,3
Michalek J,3
Lidia Kania,16
Andrzej Kociecki,15
Dorota Scibisz,15
Ewa Stanislawska,15
Ewa Wrobel,15
Grzegorz Szafranski,15
Jacek Kotlowski,15
Karol Szafranek,15
Marcin Humanicki,15
Mariusz Kapuscinski,15
Mateusz Pipien,15
Michal Greszta,15
Michal Ledochowski,15
Michal Lesyk,15
Piotr Boguszewski,23
Tomasz Kleszcz,15
Tomasz Lyziak,15
Andrzej Raczko,15
Juliusz Jablecki,8
Tadeusz Jedrzejczyk,16
Andrzej Wieczorkiewicz,24
Katarzyna Dabrowska,24
Katarzyna Dabrowska-gruszczynska,24
Marcin Gruszczynski,24
Aneta Blazejowska,3
Kamila Kuziemska-pawlak,3
Michal Brzoza-brzezina,3
Anil Markandya,25
Milan Scasny,25
Olga Kiuila,25
Katarzyna Metelska-szaniawska,10
Anna Bialek-jaworska,9
Anna Cyganek,16
Barbara Gornicka,16
Christopher Kobierzycki,16
Anna Legowska,4
Caterina Migliorini,4
Daniela Valensin,4
Elena Gaggelli,4
Francesca Maria mancini,4
Francesco Berti,4
Gianni Valensin,4
Hanna Miecznikowska,4
Henryk Kozlowski,4
Ivano Bertini,4
Kornelia Wisniewska,4
Krzysztof Rolka,4
Leszek Lankiewicz,4
Lucia Banci,4
Manuele Martinelli,4
Marek Luczkowski,4
Martina Donatoni,4
Maurizio Remelli,4
Peep Palumaa,4
Pierluigi Pretegiani,4
Rebecca Pogni,4
Remo Guerrini,4
Simone Ciofi-baffoni,4
Tomasz Suchocki,4
Anna Lewandowska,1
Anna Lewczuk,10
Jerg Gutmann,10
Mateusz Marcol,10
Rafal Wozniak,10
Stefan Voigt,10
Anna Marzec,23
Dorota Stuglik,23
Joanna Kotowicz-jawor,23
Tadeusz Smuga,23
Wanda Karpinska-mizielinska,23
Jakub Zawieska,5
Joan Costa-font,5
Joanna Rachubik,5
Jorge Garcia-hombrados,5
Maciej Grzenda,5
Satia Rozynek,5
Shahriar Akhavan,5
Anna Ruzik,26
Kula Gj,26
Magdalena Rokicka,26
Marek Gora,26
Oleksandr Rohozynsky,26
Anna Ruzik-sierdzinska,5
Anna Turovtseva,8
Anne White,7
Izabela Grabowska,7
Krystyna Slany,7
Annica Sandstrom,18
Brian R mackenzie,18
Daniel Oesterwind,18
Erik Bonsdorff,18
Frank Melzner,18
Gerald Schwarz,18
Harri Kuosa,18
Helen C andersson,18
Henn Ojaveer,18
Jacob Carstensen,18
Jan Dierking,18
Jens Christian refsgaard,18
Karin Tonderski,18
Kerstin Johannesson,18
Klaus Hinsby,18
Linda Laikre,18
Marianne Zandersen,18
Michele Casini,18
Monika Winder,18
Piotr Margonski,18
Sara Kurland,18
Seifeddine Jomaa,18
Thorsten Bh reusch,18
Veijo Jormalainen,18
Antosiewicz M,27
Bartkiewicz P,27
Bukowski M,27
Cukrowska E,27
Gebska J,27
Julian Zawistowski,27
Kowal P,27
Regulski A,27
Rosik P,27
Szczygielski K,27
Szpor A,27
Zub M,27
Arshia Hashemi,28
Greg Kaplan,28
Piotr Zoch,28
Steve Bond,28
Artur Pokropek,8
Francesca Borgonovi,8
Maciej Jakubowski,8
Roman Dolata,8
Aura Reggiani,29
Danny Czamanski,29
Laurie A schintler,29
Roberto Patuelli,29
Badi H baltagi,11
Kenia Barreiro de souza,11
Baranochnikov I.,30
Slepaczuk R.,30
Barbara Bobrowicz,3
Dagmara Mycielska,3
Gabriela Grotkowska,3
Joanna Tyrowicz,3
Maurice Obstfeld,3
Paul Robin krugman,3
Pawel Gieraltowski,3
Wlodzimierz Siwinski,3
Barbara Karbownik,5
Eduardo A haddad,11
Geoffrey Jd hewings,11
Jonathan M horridge,11
Krzysztof Ostaszewski,11
Marcin Stepniak,11
Mark Horridge,11
Mieczyslaw W socha,11
Oliver Fritz,11
Bialecki T,4
Janicka A,4
Katarzyna Januszewicz,4
Pawel Kazimierski,4
Piotr Lampart,4
Bartosz Witkowski,3
Ewa Witkowska,3
Lucas Goczek,3
Beata Tarnacka,3
Christina-anastasia Rapidi,3
Conran Joseph,3
James Middleton,3
Jolanta Kujawa,3
Maria Cristina pagliacci,3
Pawel Turczyn,3
Piotr Tederko,3
Bechtold P,31
Chaboureau J-p,31
Cheinet S,31
Cheng A,31
Forbes R,31
Grabowski W,31
Grabowski Ww,31
Grenier H,31
Guichard F,31
Halliwell C,31
Jones Cg,31
Khairoutdinov M,31
Kohler M,31
Lang S,31
Nasuno T,31
Petch J,31
Petch Jc,31
Piriou J-m,31
Redelsperger J-l,31
Tailleux R,31
Tao W-k,31
Tomasini M,31
Wong R,31
Wu X,31
Xu K-m,31
Beldowski J,32
Metelska-szaniawska K,32
Bernard Ziebicki,33
Janusz Nesterak,33
Bierut Beata,34
Broniatowska Paulina,34
Cichocki Stanislaw,34
Gradzewicz Michal,34
Grela Marcin,34
Growiec Jakub,34
Hagemejer Jan,34
Izabela Tymoczko d,34
Kosior Anna,34
Lewkowicz Jacek,34
Michalek Tomasz,34
Mroczek Wojciech,34
Muck Jakub,34
Niechcial Marek,34
Piasecki Tomasz,34
Popowski Piotr,34
Puchalska Katarzyna,34
Rola-janicka Magdalena,34
Rubaszek Michal,34
Slubowski Rafal,34
Stazka-gawrysiak Agnieszka,34
Suleja Wawrzyniec,34
Tchorek Grzegorz,34
Tomkiewicz Marcin,34
Wierus Kamil,34
Bogdan Rosa,14
Lian-ping Wang,14
Orlando Ayala,14
Bover O,35
Caju Pd,35
Casado Jm,35
Costa S,35
Mccarthy Y,35
Sierminska E,35
Tzamourani P,35
Villanueva E,35
Zavadil T,35
Brenguier J-l,14
Collins Lr,14
Devenish Bj,14
Ijzermans Rha,14
Peter Bartello,14
Reeks Mw,14
Szymon P malinowski,14
Vassilicos Jc,14
Wang L-p,14
Warhaft Z,14
Brzozowski M,36
Kubielas S,36
Bukowska Grazyna,37
Kopanska Agnieszka,37
Kula Grzegorz,37
Mlochowska Magdalena,37
Siwinska-gorzelak Joanna,37
Burak Turgut,38
Jacek Suda,38
Patrick Pintus,38
Charles J seman,14
Daniel E johnson,14
David A randall,14
Donghai Wang,14
Francoise Guichard,14
Jon C petch,14
Kuan-man Xu,14
Leo J donner,14
Ming-hua Zhang,14
Richard T cederwall,14
Shao Cheng xie,14
Steven K krueger,14
Wei-kuo Tao,14
Yio John j,14
Cichocki S,39
Marcinkowska I,39
Saczuk K,39
Schneider F,39
Strzelecki P,39
Tyrowicz J,39
Wyszynski R,39
Cieslik A,3
Mycielski J,3
Cieslik Andrzej,40
Michalek Jj,40
Mycielski Jerzy,40
Claire Armstrong,18
Jannike Falk-petersen,18
Margrethe Aanesen,18
Nick Hanley,18
Stale Navrud,18
Czapinski J,41
Dorabialski W,41
Gilis-januszewska A,41
Kalbarczyk M,41
Kula G,41
Myck M,41
Nicinska A,41
Topor-madry R,41
Wisniewski M,41
Wisniewski R,41
Czarny A,4
Zaczynska E,4
Zawislak M,4
Danny Campbell,18
Marek Giergiczny,18
Dariusz Gatarek,8
David Hoyos,18
Jette Bredahl jacobsen,18
Julian Sagebiel,18
Klaus Glenk,18
Mara Thiene,18
Petr Mariel,18
Soren Boye olsen,18
Thijs Dekker,18
Ulf Liebe,18
Departament Stabilnosci finansowej,23
Dorota Mirowska-wierzbicka,23
Dominika Milczarek,10
Dong Qu dariusz gatarek,8
Dorota Mirowska,23
Karol Strzelinski,23
Dugald Tinch,18
Jacob Lariviere,18
Elzbieta Skrzeszewska-paczek,15
Ewa Stawasz-grabowska,15
Joanna Niedzwiedzinska,15
Magda Cizkowicz,15
Magda Cizkowicz-pekala,15
Patrycja Beniak,15
Piotr Zuk,15
Witold Grostal,15
Emilia Lewczuk,25
Emilio Ernesto porta,8
Harry A patrinos,8
Harry Anthony patrinos,8
Jerzy Wisniewski,8
Engelsatter B,3
Irene Bertschek,3
Erika Jorgensen,25
Jakub Boratynski,25
Jan Gaska,25
Krzysztof Wojtowicz,25
Leszek Kasek,25
Maciej Cygler,25
Maciej Pyrka,25
Magdalena Zachlod-jelec,25
Michal Antoszewski,25
Przemyslaw Sikora,25
Robert Jeszke,25
Ryszard Malarski,25
Wojciech Rabiega,25
Ernesto Villanueva,20
Jose Maria casado,20
Olympia Bover,20
Panagiota Tzamourani,20
Philip Du caju,20
Sonia Costa,20
Tibor Zavadil,20
Yvonne Mccarthy,20
Eva M sierminska,20
Joachim R frick,20
Markus Jantti,20
Markus M grabka,20
Markus Michael grabka,20
Philippe Van kerm,20
Jan Marcus,20
Janet C gornick,20
Karina Doorley,20
Tim Smeeding,20
Yelena Takhtamanova,20
Ewa Chlebus,16
Monika Serafin,16
Oded Stark,3
Wilhelm Kohler,3
Faisal Mehmood mirza,0
Fujun Hou,0
Fenni Lian,0
Shufang Xiao,0
Filip Szubzda,16
Filip Wuyts,3
Yohanes E riyanto,3
Filippo Di mauro,42
Paloma Lopez-garcia,42
Muhammad Ilyas,0
Muhammad Junaid,0
Muhammad Saeed ashraf,0
Naeem Akhtar,0
Syed Ali ashiq kirmani,0
Wasim Ahmad,0
Woo Gon kim,0
Leszek Wincenciak,8
Tomasz Gajderowicz,8
Gajderowicz T,43
Glomb K,43
Jakubowski M,43
Krawczyk A,43
Kulisiewicz T,43
Nowakowski Z,43
Zlotnicki A,43
Gianluigi Coppola,1
Maria Kubara,1
Sebastien Bourdin,1
Sergio Destefanis,1
Goczek L,44
Witkowska E,44
Witkowski B,44
Goczek Ukasz l,45
John B taylor,45
Leszek Balcerowicz,45
Grazyna Bukowska,5
Leszek Morawski,5
Piotr Tadeusz wojcik,5
Piotr Wojcik,8
Grzegorz Peszko,25
Pawel Sliwinski,9
Krzysztof Makarski,3
Malgorzata Walerych,15
Marcin Kolasa,3
Oliver De groot,15
Grzegorz Zakrzewski,8
Krzysztof Kosc,8
Malgorzata Jablczynska,8
Przemyslaw Rys,8
Robert Slepaczuk,8
Hafiz Muhammad arshad,0
Raja Irfan sabir,0
Harry Patrinos,8
Iana Okhrimenko,1
Ibne Hassan,0
Ijaz Hussain shah,0
Shahid Mohammad khan ghauri,0
Iga Magda,27
Illya Barziy,16
Ireneusz Bialecki,8
Ireneusz Miernik,1
Maciej Sobolewski,1
Li Mingxing,0
Ma Zhiqiang,0
Mingxing Li,0
Ivan Skliarov,3
J.,46
Jablecki P.,46
Kokoszczynski,46
R.,46
Sakowski P.,46
Wójcik,46
Ślepaczuk,46
Jacek Kocerka,23
Marcin Sienicki,23
Jan Falkowski,10
Michal Wozniak,16
Michal Wrzesinski,16
Jacek Socha,1
Wojciech Rogowski,1
Pintus P,38
Turgut B,38
Jakub Michankow,8
Janusz Morajda,8
Lukasz Kwiatkowski,8
Pawel Strawinski,8
Jan Grudniewicz,8
Karolina Goraus,3
Mahdi Ghodsi,10
Jan Jakub and szczygielski,47
Krzysztof Cieslik,47
Michalek And andrzej,47
Jarko Fidrmuc,3
Mahdi Ghodsi ghodsi,3
Peter Huber,3
Keska A,4
Walkowiak W,4
Jaroslaw Beldowski,10
Robert Cooter,10
Thomas Ulen,10
Krzysztof Bartosik,3
Maja Micevska,3
Michal Kurcewicz,3
Jerzy Sleszynski,25
Marcin Waniek,3
Velde Der van lucas,3
Josip Franic,10
Julia Martin-ortega,18
Michela Faccioli,18
Mateusz Machaj,8
Ryszard Kokoszczynski,8
Ulrich Bindseil,8
Kamil Matuszelanski,1
Karbownik B,41
Karine Nyborg,18
Karol J partyka,3
Krzysztof Chrostek,1
Mateusz Kopyt,1
Piotr Cwiakowski,1
Malgorzata Godlewska,10
Przemyslaw Banasik,10
Sylwia Morawska,10
Malgorzata Markiewicz,23
Katarzyna Zagorska,18
Kateryna Boichenko,0
Mario Nuno mata,0
Stefan Cristian gherghina,0
Khurram Abbas,0
Muhammad Fahad anwar,0
Qamar Uz zaman,0
Syed Iftikhar ul hassan,0
Klarita Gerxhani,10
Kopanska A,48
Sztanderska U,48
Kopczewski Tomasz,49
Miernik Ireneusz,49
Sobolewski Maciej,49
Krzysztof & grabowski,50
Mehmet Teoman & tandogan,50
Vedat Sinan szczygielski,50
Wojciech & pamukcu,50
Krzysztof Marczewski,3
Marcin Jakubek,3
Sinan Tandogan,3
Teoman Pamukcu,3
Tomasz Zylicz,18
Kudla Janusz,51
Walczyk Konrad kopczewska katarzyna,51
Kwasowski M,52
Rokicki B,52
Ryba J,52
Wtorek J,52
Liangmin Wang,0
Muhammad Sohail,0
Samar Zaineldeen,0
Shunrong Jiang,0
Liangze Ma,0
Muhammad Ahtisham ul haq,0
Xianhua Fan,0
Luisa Araujo,8
Ralph Hippe,8
Natasha Malyarenko,3
Maciej Osiewicz,3
Slawomir Cieslak,3
Maciej Pogorzelski,1
Przemyslaw Kusztelak,1
Maciej Stoklosa,24
Maciej Wysocki,8
Mateusz Kijewski,8
Macuda M,2
Matuszak L,2
Rozanska E,2
Malgorzata Buszko-briggs,18
Malgorzata Pawlowska,1
Nikolai Stahler,3
Marta Klosok,16
Mateusz Buczynski,16
Michal Dyczko,16
Piotr Borowski,16
Renata Gabryelczyk,16
Stefan Cylwik,16
Pawel Majczak,24
Marcin Malawski,1
Per Angelstam,18
William H greene,18
Maria Lissowska,23
Maria Szczepaniec,10
Piotr Bieniek,10
Maryna Zenkova,8
Mateusz Wywial,8
Tomasz Tratkiewicz,3
Sadananda Prusty,9
Michal Latoszek,8
Michal Sitek,8
Sledziewka-kolodziejska K,40
Wilkin J,40
Miko_aj Czajkowski,18
Richard T carson,18
Tadeusz Kadziela,18
Mitchell W moncrieff,14
William D hall,14
Xiaoqing Wu,14
Moncrieff Mw,14
Nguyen Vo,8
Oleh Bilyk,8
Peter Mieszkowski,25
Thomas F rutherford,25
Thomas Rutherford,25
Pawel Kowal,1
Robert Borowski,1
Rafal Sieradzki,8
Piotr K smolarkiewicz,14
Yu-ting Chiang,28
Qamar Uz zaman malik,0
Rab Nawaz lodhi,0
Usama Awan,0
Quynh Bui,8
Slepaczuk R,6
Zakrzewski G,6
Terry L clark,14
