Id,Label,SemanticCluster,ClusterTerms,TotalPapers,TopClusterCount,Id
Jan Michalek,Jan Michalek,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",6,4,jan j michalek
Fujun Hou,Fujun Hou,Noise,,6,2,fujun hou
Anna Michalek,Anna Michalek,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",6,6,anna michalek
Joan Costa-font,Joan Costa-font,Noise,,6,2,joan costafont
Jan Falkowski,Jan Falkowski,Cluster 7,"constitutional, political, rule, country, society, gap, economic, period, empirical, country period",6,4,jan falkowski
Marek Okolski,Marek Okolski,Noise,,6,4,marek okolski
Grzegorz Zakrzewski,Grzegorz Zakrzewski,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",6,6,grzegorz zakrzewski
Janusz Kudla,Janusz Kudla,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",6,6,janusz kudla
Konrad Walczyk,Konrad Walczyk,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",6,6,konrad walczyk
Robert Kruszewski,Robert Kruszewski,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",6,6,robert kruszewski
Piotr Zuk,Piotr Zuk,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",5,4,piotr zuk
Bartosz Gawron,Bartosz Gawron,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",5,5,bartosz gawron
Maciej Zawislak,Maciej Zawislak,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",5,4,maciej zawislak
Katarzyna Dabrowska,Katarzyna Dabrowska,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",5,2,katarzyna dabrowska
Malgorzata Kalbarczyk,Malgorzata Kalbarczyk,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",5,3,malgorzata kalbarczyk
Karolina Goraus,Karolina Goraus,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",5,5,karolina goraus
Muhammad Saeed ashraf,Muhammad Saeed ashraf,Noise,,5,1,muhammad saeed ashraf
Krzysztof Kosc,Krzysztof Kosc,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",5,5,krzysztof kosc
Thomas F rutherford,Thomas F rutherford,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",5,4,thomas f rutherford
Monika Puzianowska-kuznicka,Monika Puzianowska-kuznicka,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",4,3,monika puzianowskakuznicka
Edward Franek,Edward Franek,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",4,3,edward franek
Andrzej Sliwczynski,Andrzej Sliwczynski,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",4,3,andrzej sliwczynski
Melania Brzozowska,Melania Brzozowska,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",4,3,melania brzozowska
Wasim Ahmad,Wasim Ahmad,Noise,,4,2,wasim ahmad
Piotr Zoch,Piotr Zoch,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",4,3,piotr zoch
Jorge Garcia-hombrados,Jorge Garcia-hombrados,Noise,,4,2,jorge garciahombrados
Muhammad Usman,Muhammad Usman,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",4,1,muhammad usman
Adam Polko,Adam Polko,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",4,3,adam polko
Mehmet Burak turgut,Mehmet Burak turgut,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",4,2,mehmet burak turgut
Artur Ochojski,Artur Ochojski,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",4,3,artur ochojski
Pawel Churski,Pawel Churski,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",4,3,pawel churski
Dariusz Gatarek,Dariusz Gatarek,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",4,2,dariusz gatarek
Oded Stark,Oded Stark,Noise,,4,2,oded stark
Hugh Morrison,Hugh Morrison,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",4,3,hugh morrison
Elzbieta Skrzeszewska-paczek,Elzbieta Skrzeszewska-paczek,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",4,4,elzbieta skrzeszewskapaczek
Witold Grostal,Witold Grostal,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",4,4,witold grostal
Piotr Wojcik,Piotr Wojcik,Noise,,4,2,piotr tadeusz wojcik
Magdalena Walicka,Magdalena Walicka,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",4,3,magdalena walicka
Tomasz Bialecki,Tomasz Bialecki,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",4,4,tomasz bialecki
Katarzyna Puchalska,Katarzyna Puchalska,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",4,4,katarzyna puchalska
Henryk Kozlowski,Henryk Kozlowski,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",4,1,henryk kozlowski
Joanna Siwinska-gorzelak,Joanna Siwinska-gorzelak,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",4,2,siwinskagorzelak joanna
Przemyslaw Rys,Przemyslaw Rys,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",4,4,przemyslaw rys
Agata Gorny,Agata Gorny,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",4,3,agata gorny
Jacek Suda,Jacek Suda,Noise,,3,3,jacek suda
Markus Jantti,Markus Jantti,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",3,3,markus jantti
Tomasz Gajderowicz,Tomasz Gajderowicz,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",3,2,tomasz gajderowicz
Ulrich Bindseil,Ulrich Bindseil,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",3,3,ulrich bindseil
Markus M grabka,Markus M grabka,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",3,2,markus m grabka
Ewa Zawojska,Ewa Zawojska,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",3,2,ewa zawojska
Marek Giergiczny,Marek Giergiczny,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",3,1,marek giergiczny
Syed Ali ashiq kirmani,Syed Ali ashiq kirmani,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",3,1,syed ali ashiq kirmani
Geoffrey Jd hewings,Geoffrey Jd hewings,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",3,3,geoffrey jd hewings
Jerzy Wisniewski,Jerzy Wisniewski,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",3,3,jerzy wisniewski
Artur Pokropek,Artur Pokropek,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",3,1,artur pokropek
Yelena Takhtamanova,Yelena Takhtamanova,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",3,2,yelena takhtamanova
Malgorzata Jablczynska,Malgorzata Jablczynska,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",3,3,malgorzata jablczynska
Anna Bartczak,Anna Bartczak,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",3,1,anna bartczak
Natalia Nehrebecka,Natalia Nehrebecka,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",3,1,natalia nehrebecka
Aleksander Gorniak,Aleksander Gorniak,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",3,3,aleksander gorniak
Stefan Voigt,Stefan Voigt,Cluster 7,"constitutional, political, rule, country, society, gap, economic, period, empirical, country period",3,3,stefan voigt
Jerg Gutmann,Jerg Gutmann,Cluster 7,"constitutional, political, rule, country, society, gap, economic, period, empirical, country period",3,3,jerg gutmann
Bartosz Witkowski,Bartosz Witkowski,Cluster 17,"article, research, determinant, includes, europe, objective, goal, development, theory, identify",3,2,bartosz witkowski
Dagmara Mycielska,Dagmara Mycielska,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",3,3,dagmara mycielska
Krzysztof Opolski,Krzysztof Opolski,Noise,,3,2,krzysztof opolski
Mateusz Wywial,Mateusz Wywial,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",3,3,mateusz wywial
Joanna Niedzwiedzinska,Joanna Niedzwiedzinska,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",3,3,joanna niedzwiedzinska
Departament Stabilnosci finansowej,Departament Stabilnosci finansowej,Noise,,3,2,departament stabilnosci finansowej
Magda Cizkowicz-pekala,Magda Cizkowicz-pekala,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",3,3,magda cizkowiczpekala
Irfan Khan,Irfan Khan,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",3,2,irfan khan
Daniel Rutkowski,Daniel Rutkowski,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",3,2,daniel rutkowski
Pawel Strawinski,Pawel Strawinski,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",3,2,pawel strawinski
Filip A dabrowski,Filip A dabrowski,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",3,2,filip a dabrowski
Miroslaw Wielgos,Miroslaw Wielgos,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",3,2,miroslaw wielgos
Malgorzata Kalbarczyk-steclik,Malgorzata Kalbarczyk-steclik,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",3,3,malgorzata kalbarczyksteclik
Grzegorz Tchorek,Grzegorz Tchorek,Noise,,3,2,grzegorz tchorek
Grzegorz Szafranski,Grzegorz Szafranski,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",2,2,grzegorz szafranski
Maciej Duszczyk,Maciej Duszczyk,Noise,,2,1,maciej duszczyk
Bechtold P,Bechtold P,Noise,,2,1,bechtold p
Xiaoqing Wu,Xiaoqing Wu,Noise,,2,1,xiaoqing wu
Agnieszka Tuszynska,Agnieszka Tuszynska,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",2,1,agnieszka tuszynska
Mitchell W moncrieff,Mitchell W moncrieff,Noise,,2,1,mitchell w moncrieff
Kari Hyytiainen,Kari Hyytiainen,Noise,,2,1,kari hyytiainen
Marcin Czech,Marcin Czech,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",2,1,marcin czech
Andrzej Jacyna,Andrzej Jacyna,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",2,1,andrzej jacyna
Michal Wozniak,Michal Wozniak,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",2,1,michal wozniak
Berit Hasler,Berit Hasler,Noise,,2,1,berit hasler
Ralph Hippe,Ralph Hippe,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",2,1,ralph hippe
Michal Gradzewicz,Michal Gradzewicz,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",2,2,michal gradzewicz
Andrzej Kociecki,Andrzej Kociecki,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",2,2,andrzej kociecki
Robert Borowski,Robert Borowski,Noise,,2,1,robert borowski
Jacek Kotlowski,Jacek Kotlowski,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",2,1,jacek kotlowski
Patrycja Beniak,Patrycja Beniak,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",2,2,patrycja beniak
Andrzej Raczko,Andrzej Raczko,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",2,2,andrzej raczko
Wojciech Rogowski,Wojciech Rogowski,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",2,2,wojciech rogowski
Barbara Grzechocinska,Barbara Grzechocinska,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",2,2,barbara grzechocinska
Lukasz Michalowski,Lukasz Michalowski,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",2,2,lukasz michalowski
Iana Okhrimenko,Iana Okhrimenko,Noise,,2,1,iana okhrimenko
Andrzej Wieczorkiewicz,Andrzej Wieczorkiewicz,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",2,1,andrzej wieczorkiewicz
Turgut B,Turgut B,Noise,,2,2,burak turgut
Maciej Wysocki,Maciej Wysocki,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",2,2,maciej wysocki
Piotr Popowski,Piotr Popowski,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",2,1,piotr popowski
Piotr K smolarkiewicz,Piotr K smolarkiewicz,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",2,1,piotr k smolarkiewicz
Lian-ping Wang,Lian-ping Wang,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",2,2,lianping wang
Pintus P,Pintus P,Noise,,2,2,patrick pintus
Harry Anthony patrinos,Harry Anthony patrinos,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",2,2,harry anthony patrinos
Nikolai Stahler,Nikolai Stahler,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,1,nikolai stahler
Marcin Waniek,Marcin Waniek,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",2,2,marcin waniek
Ewa Chlebus,Ewa Chlebus,Noise,,2,2,ewa chlebus
Jannike Falk-petersen,Jannike Falk-petersen,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",2,1,jannike falkpetersen
Emilio Ernesto porta,Emilio Ernesto porta,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",2,2,emilio ernesto porta
Margrethe Aanesen,Margrethe Aanesen,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",2,1,margrethe aanesen
Jacob Lariviere,Jacob Lariviere,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",2,1,jacob lariviere
Marcin Jakubek,Marcin Jakubek,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,1,marcin jakubek
Greg Kaplan,Greg Kaplan,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",2,1,greg kaplan
Richard T carson,Richard T carson,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",2,1,richard t carson
Tomasz Zylicz,Tomasz Zylicz,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",2,1,tomasz zylicz
Jerzy Sleszynski,Jerzy Sleszynski,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,2,jerzy sleszynski
Janusz Gajda,Janusz Gajda,Noise,,2,2,janusz gajda
Krzysztof Wojtowicz,Krzysztof Wojtowicz,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",2,2,krzysztof wojtowicz
Muhammad Ilyas,Muhammad Ilyas,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",2,1,muhammad ilyas
Leszek Kasek,Leszek Kasek,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",2,2,leszek kasek
Maciej Sobolewski,Maciej Sobolewski,Noise,,2,1,sobolewski maciej
Rashid Saeed,Rashid Saeed,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",2,1,rashid saeed
Lidia Kania,Lidia Kania,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",2,2,lidia kania
Klaus Glenk,Klaus Glenk,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",2,2,klaus glenk
Beata Tarnacka,Beata Tarnacka,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",2,1,beata tarnacka
Anil Markandya,Anil Markandya,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,1,anil markandya
Jurgen Meyerhoff,Jurgen Meyerhoff,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",2,1,jurgen meyerhoff
Marat Khairoutdinov,Marat Khairoutdinov,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",2,2,marat khairoutdinov
Wiktor Budzinski,Wiktor Budzinski,Noise,,2,1,wiktor budzinski
Malgorzata Macuda,Malgorzata Macuda,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",2,2,malgorzata macuda
Joanna Rachubik,Joanna Rachubik,Noise,,2,2,joanna rachubik
Olympia Bover,Olympia Bover,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,2,olympia bover
Jonathan M horridge,Jonathan M horridge,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",2,2,jonathan m horridge
Michal Myck,Michal Myck,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",2,1,michal myck
Radoslaw Wlostowski,Radoslaw Wlostowski,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",2,2,radoslaw wlostowski
Panagiota Tzamourani,Panagiota Tzamourani,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,2,panagiota tzamourani
Michael Ryan,Michael Ryan,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",2,1,michael ryan
Maciej Grzenda,Maciej Grzenda,Noise,,2,2,maciej grzenda
Tim Smeeding,Tim Smeeding,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",2,2,tim smeeding
Gianni Valensin,Gianni Valensin,Noise,,2,1,gianni valensin
Agnieszka Sobianowska-turek,Agnieszka Sobianowska-turek,Noise,,2,1,agnieszka sobianowskaturek
Timothy M smeeding,Timothy M smeeding,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",2,2,timothy m smeeding
Jose Maria casado,Jose Maria casado,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,2,jose maria casado
Aleksandra Keska,Aleksandra Keska,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",2,2,aleksandra keska
Andrea Brandolini,Andrea Brandolini,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",2,2,andrea brandolini
Joachim R frick,Joachim R frick,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",2,1,joachim r frick
Sonia Costa,Sonia Costa,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,2,sonia costa
Philip Du caju,Philip Du caju,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,2,philip du caju
Elena Gaggelli,Elena Gaggelli,Noise,,2,1,elena gaggelli
Remo Guerrini,Remo Guerrini,Noise,,2,1,remo guerrini
Yvonne Mccarthy,Yvonne Mccarthy,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,2,yvonne mccarthy
Marzena Maselewska,Marzena Maselewska,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",2,2,marzena maselewska
Tibor Zavadil,Tibor Zavadil,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,2,tibor zavadil
Tomasz Suchocki,Tomasz Suchocki,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",2,2,tomasz suchocki
Ernesto Villanueva,Ernesto Villanueva,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,2,ernesto villanueva
Daniela Valensin,Daniela Valensin,Noise,,2,1,daniela valensin
Monika Koppl turyna,Monika Koppl turyna,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",2,2,monika koppl turyna
